id,url,title,lead_paragraph,category,publish_datetime,source,thumbnail_url,label,title_segmented,lead_segmented,title_cleaned,lead_cleaned
article_3507,https://baomoi.com/bentley-bentayga-speed-2025-mo-dat-hang-tai-malaysia-gia-hon-17-ty-dong-c52568924.epi,"Bentley Bentayga Speed 2025 mở đặt hàng tại Malaysia, giá hơn 17 tỷ đồng - Báo Điện tử Tiếng nói Việt Nam","Bentley Bentayga Speed 2025 chính thức nhận đặt hàng tại Malaysia. Mẫu SUV siêu sang này mang thiết kế thể thao, trang bị cao cấp và nhiều tùy chọn cá nhân hóa.",Xe & Vận tải,2025-06-23T00:26:00.000Z,Báo Mới,data/images/article_3507_image.png,non-clickbait,"Bentley Bentayga_Speed 2025 mở đặt_hàng tại Malaysia , giá hơn 17 tỷ đồng - Báo Điện_tử Tiếng_nói Việt_Nam","Bentley Bentayga_Speed 2025 chính_thức nhận đặt_hàng tại Malaysia . Mẫu SUV_siêu sang này mang thiết_kế thể_thao , trang_bị cao_cấp và nhiều tùy chọn cá_nhân hóa .","Bentley Bentayga Speed 2025 mở đặt hàng tại Malaysia, giá hơn 17 tỷ đồng - Báo Điện tử Tiếng nói Việt Nam","Bentley Bentayga Speed 2025 chính thức nhận đặt hàng tại Malaysia. Mẫu SUV siêu sang này mang thiết kế thể thao, trang bị cao cấp và nhiều tùy chọn cá nhân hóa."
article_2469,https://baomoi.com/gia-lai-xu-ly-gan-120-vu-vi-pham-ve-buon-lau-gian-lan-thuong-mai-va-hang-gia-c52573449.epi,"Gia Lai xử lý gần 120 vụ vi phạm về buôn lậu, gian lận thương mại và hàng giả - Báo Tin Tức TTXVN","Chỉ trong vòng một tháng triển khai đợt cao điểm theo Công điện 65/CĐ-TTg của Thủ tướng Chính phủ, lực lượng chức năng tỉnh Gia Lai đã phát hiện và xử lý 118 vụ vi phạm, khởi tố hàng loạt vụ án nghiêm trọng liên quan đến sản xuất, buôn bán hàng giả, gian lận thương mại và tàng trữ trái phép chất ma túy.",Other,2025-06-23T08:47:00.000Z,Báo Mới,data/images/article_2469_image.png,non-clickbait,"Gia_Lai xử_lý gần 120 vụ vi_phạm về buôn_lậu , gian_lận thương_mại và hàng giả - Báo Tin_Tức TTXVN","Chỉ trong vòng một tháng triển_khai đợt cao_điểm theo Công_điện 65 / CĐ-TTg của Thủ_tướng Chính_phủ , lực_lượng chức_năng tỉnh Gia_Lai đã phát_hiện và xử_lý 118 vụ vi_phạm , khởi_tố hàng_loạt vụ án nghiêm_trọng liên_quan đến sản_xuất , buôn_bán hàng giả , gian_lận thương_mại và tàng_trữ trái_phép chất ma_túy .","Gia Lai xử lý gần 120 vụ vi phạm về buôn lậu, gian lận thương mại và hàng giả - Báo Tin Tức TTXVN","Chỉ trong vòng một tháng triển khai đợt cao điểm theo Công điện 65/CĐ-TTg của Thủ tướng Chính phủ, lực lượng chức năng tỉnh Gia Lai đã phát hiện và xử lý 118 vụ vi phạm, khởi tố hàng loạt vụ án nghiêm trọng liên quan đến sản xuất, buôn bán hàng giả, gian lận thương mại và tàng trữ trái phép chất ma túy."
article_1063,https://baomoi.com/ha-noi-khoi-cong-du-an-tu-bo-ton-tao-di-tich-chua-phuc-lam-co-c52572536.epi,"Hà Nội: Khởi công dự án tu bổ, tôn tạo di tích chùa Phúc Lâm cổ - Giác ngộ","Đại tướng Lương Tam Quang, Ủy viên Bộ Chính trị, Bộ trưởng Bộ Công an; bà Bùi Thị Minh Hoài, Ủy viên Bộ Chính trị, Bí thư Thành ủy TP.Hà Nội cùng quý vị lãnh đạo T.Ư và Thành phố đã trở về chùa, thực hiện nghi thức dâng hương và động thổ khởi công tu bổ, tôn tạo di tích chùa Phúc Lâm cổ.",Văn hóa & Nghệ thuật,2025-06-23T07:07:00.000Z,Báo Mới,data/images/article_1063_image.png,non-clickbait,"Hà_Nội : Khởi_công dự_án tu_bổ , tôn_tạo di_tích chùa Phúc_Lâm_cổ - Giác_ngộ","Đại_tướng Lương_Tam_Quang , Ủy_viên Bộ_Chính_trị , Bộ_trưởng Bộ Công_an ; bà Bùi_Thị_Minh_Hoài , Ủy_viên Bộ_Chính_trị , Bí_thư Thành_ủy TP.Hà_Nội cùng quý_vị lãnh_đạo T.Ư và Thành_phố đã trở về chùa , thực_hiện nghi_thức dâng_hương và động_thổ khởi_công tu_bổ , tôn_tạo di_tích chùa Phúc_Lâm_cổ .","Hà Nội: Khởi công dự án tu bổ, tôn tạo di tích chùa Phúc Lâm cổ - Giác ngộ","Đại tướng Lương Tam Quang, Ủy viên Bộ Chính trị, Bộ trưởng Bộ Công an; bà Bùi Thị Minh Hoài, Ủy viên Bộ Chính trị, Bí thư Thành ủy TP.Hà Nội cùng quý vị lãnh đạo T.Ư và Thành phố đã trở về chùa, thực hiện nghi thức dâng hương và động thổ khởi công tu bổ, tôn tạo di tích chùa Phúc Lâm cổ."
article_0451,https://www.saostar.vn/sac-mau-cuoc-song/9-truong-hop-nhan-tien-chuyen-khoan-khong-phai-nop-thue-202506210844328944.html,"9 trường hợp nhận tiền chuyển khoản không phải nộp thuế, nhiều người chưa biết","Người dân cần nắm rõ thông tin về các trường hợp không phải nộp thuế để tránh rơi vào tình trạng hoang mạng, lo lắng.",Sức khỏe & Đời sống,2025-06-21T08:44:33.139+07:00,SaoStar,data/images/article_0451_image.png,clickbait,"9 trường_hợp nhận tiền chuyển_khoản không phải nộp thuế , nhiều người chưa biết","Người_dân cần nắm rõ thông_tin về các trường_hợp không phải nộp thuế để tránh rơi vào tình_trạng hoang_mạng , lo_lắng .","9 trường hợp nhận tiền chuyển khoản không phải nộp thuế, nhiều người chưa biết","Người dân cần nắm rõ thông tin về các trường hợp không phải nộp thuế để tránh rơi vào tình trạng hoang mạng, lo lắng."
article_1784,https://thanhnien.vn/thi-tot-nghiep-thpt-chien-thuat-lam-bai-mon-tieng-anh-185250621050627292.htm,Thi tốt nghiệp THPT: Chiến thuật làm bài môn tiếng Anh,Đề thi môn tiếng Anh kỳ thi tốt nghiệp THPT năm 2025 có gì thay đổi và bí quyết làm bài môn thi này ra sao để đạt điểm cao?,Giáo dục & Học đường,2025-06-22T08:00:00+07:00,Thanh Niên,data/images/article_1784_image.png,non-clickbait,Thi tốt_nghiệp THPT : Chiến_thuật làm bài môn tiếng Anh,Đề_thi môn tiếng Anh kỳ thi tốt_nghiệp THPT năm 2025 có gì thay_đổi và bí_quyết làm bài môn thi này ra sao để đạt điểm cao ?,Thi tốt nghiệp THPT: Chiến thuật làm bài môn tiếng Anh,Đề thi môn tiếng Anh kỳ thi tốt nghiệp THPT năm 2025 có gì thay đổi và bí quyết làm bài môn thi này ra sao để đạt điểm cao?
article_1566,https://www.saostar.vn/sao-sport/chot-lich-tran-play-off-v-league-2024-25-cong-phuong-se-da-o-dau-202506201520390607.html,Chốt lịch trận play-off V.League 2024/25: Công Phượng sẽ đá ở đâu?,Trận play-off quyết định tấm vé cuối cùng lên chơi V.League 2025/2026 diễn ra lúc 18h00 ngày 27/6/2025. Đây là trận đấu dự kiến có sự góp mặt của Công Phượng.,Thể thao,2025-06-20T15:24:43.147+07:00,SaoStar,data/images/article_1566_image.png,clickbait,Chốt lịch trận play-off V.League 2024 / 25 : Công_Phượng sẽ đá ở đâu ?,Trận play-off quyết_định tấm vé cuối_cùng lên chơi V.League 2025 / 2026 diễn ra lúc 18 h00 ngày 27/6/2025 . Đây là trận đấu dự_kiến có sự góp_mặt của Công_Phượng .,Chốt lịch trận play-off V.League 2024/25: Công Phượng sẽ đá ở đâu?,Trận play-off quyết định tấm vé cuối cùng lên chơi V.League 2025/2026 diễn ra lúc 18h00 ngày 27/6/2025. Đây là trận đấu dự kiến có sự góp mặt của Công Phượng.
article_3472,https://baomoi.com/bmw-m2-cs-2026-ra-mat-toan-cau-voi-cong-suat-523-ma-luc-c52575207.epi,BMW M2 CS 2026 ra mắt toàn cầu với công suất 523 mã lực - Chuyên trang Cartimes - Tạp chí Công Thương,"BMW M2 CS 2026 đã chính thức được tiết lộ, mang đến hiệu suất sắc nét hơn và giảm trọng lượng cho dòng xe M nhỏ gọn của BMW. Được trang bị động cơ 6 xi-lanh thẳng hàng tăng áp kép 3.0L, cho công suất 523 mã lực và mô-men xoắn 650Nm, khiến nó trở thành chiếc M2 mạnh mẽ nhất từng được sản xuất.",Xe & Vận tải,2025-06-23T11:00:00.000Z,Báo Mới,data/images/article_3472_image.png,non-clickbait,BMW M2 CS 2026 ra_mắt toàn_cầu với công_suất 523 mã_lực - Chuyên_trang Cartimes - Tạp_chí_Công_Thương,"BMW M2 CS 2026 đã chính_thức được tiết_lộ , mang đến hiệu_suất sắc nét hơn và giảm trọng_lượng cho dòng xe M nhỏ gọn của BMW._Được trang_bị động_cơ 6 xi-lanh thẳng hàng tăng áp_kép 3.0_L , cho công_suất 523 mã_lực và mô-men xoắn 650N m , khiến nó trở_thành chiếc M2 mạnh_mẽ nhất từng được sản_xuất .",BMW M2 CS 2026 ra mắt toàn cầu với công suất 523 mã lực - Chuyên trang Cartimes - Tạp chí Công Thương,"BMW M2 CS 2026 đã chính thức được tiết lộ, mang đến hiệu suất sắc nét hơn và giảm trọng lượng cho dòng xe M nhỏ gọn của BMW. Được trang bị động cơ 6 xi-lanh thẳng hàng tăng áp kép 3.0L, cho công suất 523 mã lực và mô-men xoắn 650Nm, khiến nó trở thành chiếc M2 mạnh mẽ nhất từng được sản xuất."
article_2946,https://www.24h.com.vn/lam-dep/giam-gan-100-kg-nho-ham-mo-g-dragon-c145a1674829.html,Giảm gần 100 kg nhờ hâm mộ G-Dragon,Thần tượng 'ông hoàng K-pop' G - Dragon đã giúp một cô gái người Trung Quốc có động lực giảm thành công từ 145 kg xuống còn 50 kg.,Other,2025-06-22T18:00:00+07:00,24h,data/images/article_2946_image.png,clickbait,Giảm gần 100 kg nhờ hâm_mộ G-Dragon,Thần_tượng ' ông hoàng_K-pop ' G - Dragon đã giúp một cô gái người Trung_Quốc có động_lực giảm thành_công từ 145 kg xuống còn 50 kg .,Giảm gần 100 kg nhờ hâm mộ G-Dragon,Thần tượng 'ông hoàng K-pop' G - Dragon đã giúp một cô gái người Trung Quốc có động lực giảm thành công từ 145 kg xuống còn 50 kg.
article_2866,https://thanhnien.vn/clb-binh-dinh-chien-dau-kien-cuong-van-thua-dau-ha-noi-rot-hang-ket-cuc-cay-dang-185250622185423945.htm,"CLB Bình Định ‘chiến đấu’ kiên cường, vẫn thua đau Hà Nội: Rớt hạng, kết cục cay đắng!","Chiều 22.6, ở vòng đấu cuối cùng của V-League 2024-2025, CLB Bình Định lại thể hiện một bộ mặt bạc nhược phải nhận đến 4 bàn thua trong hiệp 1, thua chung cuộc 2-4 và chấp nhận xuống hạng.",Other,2025-06-22T18:55:00+07:00,Thanh Niên,data/images/article_2866_image.png,non-clickbait,"CLB Bình_Định ‘ chiến_đấu ’ kiên_cường , vẫn thua_đau Hà_Nội : Rớt_hạng , kết_cục cay_đắng !","Chiều 22.6 , ở vòng_đấu cuối_cùng của V-League 2024 - 2025 , CLB Bình_Định lại thể_hiện một bộ_mặt bạc_nhược phải nhận đến 4 bàn_thua trong hiệp 1 , thua chung_cuộc 2-4 và chấp_nhận xuống hạng .","CLB Bình Định ‘chiến đấu’ kiên cường, vẫn thua đau Hà Nội: Rớt hạng, kết cục cay đắng!","Chiều 22.6, ở vòng đấu cuối cùng của V-League 2024-2025, CLB Bình Định lại thể hiện một bộ mặt bạc nhược phải nhận đến 4 bàn thua trong hiệp 1, thua chung cuộc 2-4 và chấp nhận xuống hạng."
article_2883,https://thanhnien.vn/tran-quyet-chien-noi-gi-truoc-ngay-xuat-tran-tai-world-cup-billiards-tphcm-185250522160203646.htm,Trần Quyết Chiến nói gì trước ngày xuất trận tại World Cup billiards TP.HCM?,Trần Quyết Chiến đã sẵn sàng cho hành trình chinh phục danh hiệu tại World Cup billiards TP.HCM 2025. Tay cơ số 1 Việt Nam muốn một lần nữa vô địch trên sân nhà.,Other,2025-05-22T16:04:00+07:00,Thanh Niên,data/images/article_2883_image.png,clickbait,Trần_Quyết_Chiến nói gì trước ngày xuất_trận tại World_Cup billiards TP.HCM ?,Trần_Quyết_Chiến đã sẵn_sàng cho hành_trình chinh_phục danh_hiệu tại World_Cup billiards TP.HCM 2025 . Tay cơ_số 1 Việt_Nam muốn một lần nữa vô_địch trên sân_nhà .,Trần Quyết Chiến nói gì trước ngày xuất trận tại World Cup billiards TP.HCM?,Trần Quyết Chiến đã sẵn sàng cho hành trình chinh phục danh hiệu tại World Cup billiards TP.HCM 2025. Tay cơ số 1 Việt Nam muốn một lần nữa vô địch trên sân nhà.
